s,r,x
-0.0,0.010080512799336028,0.0
-0.0,0.013824721987383881,0.010183516326783808
-0.0,0.017499201815901477,0.024202958924232524
0.0008915598485237912,0.010085249266867269,0.0420157206127114
-0.0,0.009089129562105613,0.0522040708872671
-0.0,0.00827829775982053,0.061376827741609866
0.011938914835994534,0.009063121028739907,0.06972442165218277
-0.0,0.008055780336628182,0.07887068913137811
-0.0,0.008514874253026161,0.08699207064398838
-0.0,0.007063081400608351,0.09558028177876794
-0.0,0.009999831294394801,0.10269372514165916
-0.0,0.007530819065820815,0.11279490665187177
-0.0,0.006627423796973619,0.12038301492759641
-0.0,0.009486738291216157,0.12705475349674564
-0.0,0.01302534222119478,0.13663264482642942
-0.0,0.01152178031102602,0.14983065188081923
-0.0,0.008021444437041392,0.16148725889869497
-0.0,0.008222722222849366,0.1695737434656656
-0.0,0.01614082826807295,0.17786482939996243
-0.0,0.009592611621709712,0.1942719301703792
-0.0,0.010737560625086351,0.20395775411509687
-0.0,0.008258472643149772,0.21481228765179097
-0.0,0.0031720252613964273,0.22313972308965555
-0.0,0.01043883835598225,0.22632185285363066
-0.0,0.006810258188437612,0.23687120139267326
-0.0,0.005521810197402555,0.24372826469014286
-0.0,0.008560139789055787,0.24928079163415479
-0.0,0.00975314121031795,0.2579150546413644
-0.0,0.005845098984055497,0.2677645750066153
-0.0,0.0058331820047974325,0.273644107794533
-0.0,0.013606757555585824,0.2795115827888908
-0.0,0.015368139469447706,0.293306913222659
-0.0,0.009444555758318984,0.30891618630357565
-0.0,0.00846977887779743,0.31845108112071413
-0.0,0.015134698765883359,0.3269934177171113
-0.0,0.006195750916132892,0.34236190545353984
-0.0,0.008714121297894228,0.3485963637935577
0.008141467626034063,0.008578764411579565,0.3573873149834426
-0.0,0.007777993383124904,0.3660405273850332
0.0029682841000155547,0.014771311373007356,0.37387965275689966
-0.0,0.007651571271888313,0.38887355059413237
-0.0,0.010259802246315397,0.3965842726467512
0.012572125205722205,0.00816885952596913,0.4069508009436452
-0.0,0.005187926619164285,0.41518712657299284
-0.0,0.008021025960802453,0.4204021554101894
-0.0,0.006522050592605244,0.428488214678073
-0.0,0.007181466223734723,0.43505317597747956
-0.0,0.010953576211350735,0.44228671487056564
-0.0,0.0068745518504888525,0.4533620535107487
-0.0,0.007168719422269321,0.46028430252450525
-0.0,0.007695622215455555,0.46750490903402014
-0.0,0.005752991444931244,0.4752603686259069
-0.0,0.009700146956426126,0.48104671306756697
-0.0,0.008577566211046272,0.49084218781387506
-0.0,0.012983857165327517,0.49949418109937355
-0.0,0.010807116329938138,0.5126495952916272
-0.0,0.010232163850648346,0.523575216085277
-0.0,0.009189006894713136,0.5339135277726919
-0.0,0.007524755192023169,0.5431880215208139
-0.0,0.011205498710930573,0.5507699732321282
-0.0,0.008906596444261838,0.5621029432504758
-0.0,0.010578696906078155,0.5710898219729408
-0.0,0.004124624640495789,0.5817820316520803
-0.0,0.007696579859739039,0.5859237629640918
-0.0,0.009024709356151739,0.5936801951709482
-0.0,0.007344821919168132,0.6027873433950854
-0.0,0.011401693006949043,0.6101866459153126
-0.0,0.011744147420449769,0.6217203482257245
-0.0,0.0085934884111733,0.6336046191693084
-0.0,0.011368744115970997,0.6422728128325057
-0.0,0.008216143877092963,0.6537727985094446
-0.0,0.01022135799816215,0.66205719615002
0.016952682624675672,0.008811279141639705,0.6723844763522244
-0.0,0.008285024771275407,0.6812743184896266
-0.0,0.01229776520340603,0.6896287527099104
-0.0,0.009597387427212722,0.7020802794091442
-0.0,0.009047006683594316,0.7117709726001975
-0.0,0.00830527509716128,0.7209008285187872
-0.0,0.008956226626601282,0.7292758546916276
-0.0,0.008779387412126638,0.7383132662556828
-0.0,0.006324592060446055,0.7471706456217753
-0.0,0.00890880970646829,0.75353557869525
-0.0,0.009739882915242581,0.7625247108252926
-0.0,0.007013146988606056,0.7723607093131858
-0.0,0.01462634099046245,0.7794235053405701
0.0070736598899775426,0.011621217958923846,0.7942680419239629
-0.0,0.005810377487481144,0.8060264423958091
0.008511362634083405,0.0065276351396926224,0.8118708442190055
-0.0,0.008599172988498716,0.818441463905675
0.004739625344599176,0.005453027826479995,0.8271154415888955
